2021-10-26 15:23:12.5430|DEBUG|SeleniumProj.Falconeri|Language selected...
2021-10-26 15:23:13.7193|DEBUG|SeleniumProj.Falconeri|Email entered...
2021-10-26 15:23:13.7830|DEBUG|SeleniumProj.Falconeri|Register button clicked...
2021-10-26 15:23:14.7367|DEBUG|SeleniumProj.Falconeri|Number selector clicked...
2021-10-26 15:23:14.8694|DEBUG|SeleniumProj.Falconeri|Number choses
2021-10-26 15:23:15.0046|DEBUG|SeleniumProj.Falconeri|Phone number entered...
2021-10-26 15:23:15.0884|DEBUG|SeleniumProj.Falconeri|Go button clicked...
2021-10-26 15:23:16.0419|DEBUG|SeleniumProj.Falconeri|Gender selected...
2021-10-26 15:23:16.1207|DEBUG|SeleniumProj.Falconeri|First name entered...
2021-10-26 15:23:16.2224|DEBUG|SeleniumProj.Falconeri|Last name entered...
2021-10-26 15:23:16.3880|DEBUG|SeleniumProj.Falconeri|Password entered...
2021-10-26 15:23:16.4718|DEBUG|SeleniumProj.Falconeri|Repeated password entered...
2021-10-26 15:23:16.5907|DEBUG|SeleniumProj.Falconeri|Receving news choice selected...
2021-10-26 15:23:16.7333|DEBUG|SeleniumProj.Falconeri|Subscribing for Falconeri Loyalty...
2021-10-26 15:23:17.1358|DEBUG|SeleniumProj.Falconeri|registration button clicked...
2021-10-26 15:23:19.9094|DEBUG|SeleniumProj.Falconeri|Email entered...
2021-10-26 15:23:19.9753|DEBUG|SeleniumProj.Falconeri|Register button clicked...
2021-10-26 15:23:20.7445|DEBUG|SeleniumProj.Falconeri|Number selector clicked...
2021-10-26 15:23:20.8283|DEBUG|SeleniumProj.Falconeri|Number choses
2021-10-26 15:23:20.9654|DEBUG|SeleniumProj.Falconeri|Phone number entered...
2021-10-26 15:23:21.0373|DEBUG|SeleniumProj.Falconeri|Go button clicked...
2021-10-26 15:23:21.8033|DEBUG|SeleniumProj.Falconeri|Gender selected...
2021-10-26 15:23:21.8831|DEBUG|SeleniumProj.Falconeri|First name entered...
2021-10-26 15:23:21.9518|DEBUG|SeleniumProj.Falconeri|Last name entered...
2021-10-26 15:23:22.1004|DEBUG|SeleniumProj.Falconeri|Password entered...
2021-10-26 15:23:22.1792|DEBUG|SeleniumProj.Falconeri|Repeated password entered...
2021-10-26 15:23:22.2444|DEBUG|SeleniumProj.Falconeri|Receving news choice selected...
2021-10-26 15:23:22.4219|DEBUG|SeleniumProj.Falconeri|Subscribing for Falconeri Loyalty...
2021-10-26 15:23:22.8288|DEBUG|SeleniumProj.Falconeri|registration button clicked...
2021-10-26 15:24:29.9265|FATAL|SeleniumProj.Falconeri|Exception: OpenQA.Selenium.WebDriverException: The HTTP request to the remote WebDriver server for URL http://localhost:64857/session/d6726db776681dd3dfc1bba2b9451e1a/element timed out after 60 seconds. ---> System.Net.WebException: The request was aborted: The operation has timed out.
   at System.Net.HttpWebRequest.GetResponse()
   at OpenQA.Selenium.Remote.HttpCommandExecutor.MakeHttpRequest(HttpRequestInfo requestInfo)
   --- End of inner exception stack trace ---
   at OpenQA.Selenium.Remote.HttpCommandExecutor.MakeHttpRequest(HttpRequestInfo requestInfo)
   at OpenQA.Selenium.Remote.HttpCommandExecutor.Execute(Command commandToExecute)
   at OpenQA.Selenium.Remote.DriverServiceCommandExecutor.Execute(Command commandToExecute)
   at OpenQA.Selenium.Remote.RemoteWebDriver.Execute(String driverCommandToExecute, Dictionary`2 parameters)
   at OpenQA.Selenium.Remote.RemoteWebDriver.FindElement(String mechanism, String value)
   at OpenQA.Selenium.Remote.RemoteWebDriver.FindElementByXPath(String xpath)
   at OpenQA.Selenium.By.<>c__DisplayClass19_0.<XPath>b__0(ISearchContext context)
   at OpenQA.Selenium.By.FindElement(ISearchContext context)
   at OpenQA.Selenium.Remote.RemoteWebDriver.FindElement(By by)
   at SeleniumProj.Falconeri.FindElement(By selector, Logger logger) in C:\Users\GrabusicT\Documents\SeleniumTesting\SeleniumAutomation\SeleniumProj\Falconeri.cs:line 70
